card_id,customer_id,card_number,card_type,operation_ammount_actual
101,46,5412-6753-1853-2861,credit,43655.49
102,46,5412-0615-4928-9051,debit,3682.7
103,46,5412-8528-6626-4519,credit,40614.91
104,46,5555-2128-4645-4932,credit,38445.46
105,46,4716-5127-9361-1128,credit,15604.51
106,46,4485-1159-7219-4558,debit,8379.55
107,9,4716-8129-7503-8065,credit,37219.75
108,9,4716-2007-8842-4230,credit,16737.38
109,45,4716-2709-2113-9221,credit,14410.98
110,45,5105-4371-4938-6790,credit,49034.22
111,45,4532-6324-0464-6247,debit,22318.76
112,45,5105-9154-6315-0120,credit,31513.11
113,45,4532-5174-6794-0752,debit,14452.71
114,45,5412-0770-8831-1289,credit,44078.65
115,45,5412-7067-8496-4143,debit,23467.62
116,78,5412-2818-6001-1437,credit,43307.76
117,78,5555-0168-7140-6576,debit,9112.96
118,78,5412-0666-0460-1287,debit,12830.67
119,78,5555-4418-3998-3770,debit,12146.02
120,11,5555-4054-1721-3620,debit,12259.22
121,11,5555-8692-1951-8684,credit,2444.75
122,32,5555-4282-9140-0960,debit,6170.03
123,32,5412-9322-3272-0040,credit,42406.54
124,32,5105-9165-6481-5776,credit,28324.27
125,32,4532-8699-9673-3472,credit,19362.68
126,64,4485-5689-0824-6863,debit,15311.01
127,64,4716-8088-9547-6888,credit,29517.16
128,64,5105-9822-0464-0760,credit,31711.93
129,64,5555-6172-1111-9606,debit,5264.71
130,6,4716-1133-7182-4303,credit,41706.95
131,6,5412-5599-2011-6275,debit,1191.11
132,6,4716-2663-1932-2001,debit,22553.19
133,6,5105-3361-7624-2552,debit,15084.1
134,6,5555-3416-1135-4587,credit,26153.65
135,6,5412-1796-8451-3511,debit,6063.4
136,80,5555-6834-4498-5443,credit,25352.94
137,80,5105-6562-3295-6708,debit,13017.89
138,80,4485-6436-9559-0096,credit,9445.03
139,80,5555-5809-9861-9879,credit,36081.15
140,85,5105-4516-6110-6725,debit,6138.99
141,85,4532-9984-7637-4752,credit,1362.06
142,85,4716-1140-0907-0860,credit,45924.95
143,85,4485-2830-6480-4881,debit,9219.57
144,5,5105-7669-1375-3848,debit,10795.79
145,5,5555-7406-9764-0531,credit,6721.67
146,5,5105-3211-2330-9114,credit,30771.82
147,5,5555-3472-2422-8926,debit,1873.96
148,5,5555-9233-1675-5396,debit,24620.45
149,5,4532-5459-0262-4436,debit,18089.23
150,5,5412-6813-2290-4307,credit,10211.31
151,5,4532-5456-2608-8223,credit,42207.47
152,57,4532-3075-8100-2224,credit,41829.85
153,57,4532-7392-0074-4032,debit,9706.98
154,100,5412-0467-0053-5049,credit,49979.87
155,100,4485-0793-5001-6046,credit,21355.79
156,100,5412-6668-8430-5283,debit,8875.49
157,63,4485-3094-4385-9344,credit,42748.93
158,63,5412-2184-2803-7247,credit,43725.86
159,63,4485-9611-5558-1930,credit,41299.51
160,63,5105-3573-0453-9434,credit,1272.21
161,63,5105-3216-1614-5061,credit,28977.28
162,63,4532-1211-7371-3585,debit,11407.07
163,63,4532-8646-6100-2561,debit,747.69
164,63,4716-3829-5829-3204,credit,33764.33
165,40,5105-8359-3089-6027,debit,4016.55
166,40,5555-0767-6875-7047,credit,13328.96
167,40,4532-8264-3365-1556,credit,32232.81
168,40,4716-1482-5798-4139,debit,1721.13
169,40,4532-8542-5633-3042,credit,47368.17
170,48,5555-2546-6134-1750,credit,36956.64
171,48,5555-1097-9081-6267,credit,40221.81
172,47,5412-5937-1716-9836,credit,46393.29
173,47,4716-0156-4316-8289,debit,11265.73
174,47,5105-5370-5580-3158,credit,14473.66
175,47,5555-3384-1664-2175,debit,19417.04
176,47,4716-3207-2810-0289,credit,16164.49
177,60,4532-0429-4328-8883,credit,27229.68
178,60,4532-1354-1105-5446,debit,12654.79
179,60,4716-9529-3007-9250,debit,20911.71
180,60,5105-0600-4216-7027,debit,3285.35
181,60,4532-7916-5821-2149,credit,4717.3
182,60,5105-8669-3243-5387,debit,12701.47
183,91,5555-7420-5416-6851,credit,14797.76
184,91,4716-9655-4258-5159,debit,6558.16
185,91,5555-4162-2870-2986,debit,3262.38
186,91,5105-9269-9004-2987,debit,24719.41
187,88,5105-1475-8823-7149,credit,11187.53
188,88,4716-8992-6026-0328,debit,1546.24
189,88,4716-6495-9365-6033,credit,24080.7
190,35,4485-6928-4396-0092,credit,5840.91
191,35,5555-1425-3750-8602,credit,39874.6
192,35,5412-1589-2776-7165,credit,27282.03
193,35,4716-9802-4546-3034,credit,2511.13
194,35,4532-1295-3687-8895,debit,17474.61
195,95,4716-5891-2746-2016,credit,1361.83
196,95,5555-5676-9528-3751,debit,3136.17
197,95,4532-6152-6320-5333,credit,2050.57
198,95,5105-6273-7863-5140,credit,17272.47
199,95,5105-0269-2986-3842,credit,28472.91
200,61,4532-9928-5316-3940,debit,11851.74
201,61,4716-0525-2998-0412,debit,20457.13
202,61,5555-2607-6601-4773,credit,5871.64
203,61,5105-8355-5159-3913,credit,37709.59
204,61,4532-4726-2407-4103,debit,16576.89
205,61,5555-9772-7156-3591,debit,5216.78
206,26,5555-4321-1532-6288,debit,5131.85
207,26,5555-4382-3784-1589,debit,15360.5
208,26,4485-4171-9335-2066,debit,14523.35
209,26,4532-5822-9135-7978,debit,15682.63
210,26,4716-1647-2216-9674,credit,45878.54
211,70,5412-1098-9539-0458,debit,20472.44
212,70,4716-1213-2611-7502,credit,37888.06
213,70,5555-7579-2542-8419,debit,2042.06
214,70,4532-5027-1820-9171,credit,1890.28
215,70,4485-1547-1779-0476,debit,24443.09
216,81,4716-5319-4642-9701,debit,535.92
217,81,4532-2229-2346-7826,credit,5423.94
218,81,5412-2566-6760-3461,debit,4180.21
219,81,5555-9525-3046-5558,debit,20650.79
220,65,4485-8953-9045-8045,debit,19898.57
221,65,5105-3900-5011-8081,debit,17582.56
222,65,4716-6987-6401-2705,debit,7191.57
223,49,5412-0544-8406-4510,debit,1650.22
224,49,4716-5086-4785-2345,debit,20515.16
225,49,4716-0918-5153-4111,debit,2192.74
226,49,5105-9787-3360-6533,debit,13638.49
227,49,4485-8158-5687-6558,debit,14671.53
228,96,5105-3231-9469-6958,credit,30830.9
229,96,4485-3169-2068-2013,credit,43467.11
230,96,4485-9149-6188-8990,debit,1635.11
231,96,5412-9888-9774-4452,credit,9032.98
232,96,4532-9565-7525-7353,debit,10287.63
233,96,4716-2359-5944-7218,debit,3337.45
234,22,4485-8404-8545-1852,credit,29403.05
235,22,4532-4680-7438-3205,credit,8575.29
236,22,5555-0904-2567-1952,debit,7542.01
237,22,5555-5864-2450-2770,debit,8701.78
238,22,4485-4207-1143-1460,debit,23086.77
239,22,5412-8615-9844-1115,debit,17453.33
240,22,5412-3070-6164-3163,credit,1621.93
241,62,4532-6733-0829-4603,debit,17014.59
242,62,5105-8991-4074-2939,credit,30939.98
243,62,4485-7086-3365-9120,debit,9961.03
244,8,5105-0519-9636-9765,debit,10224.61
245,8,4716-0788-4046-2186,credit,10684.13
246,8,4716-2363-7239-6462,debit,15417.12
247,8,4485-2788-3183-2429,debit,671.58
248,97,5412-9526-4922-6011,credit,44116.25
249,97,4485-9179-0705-8486,debit,4074.47
250,97,5412-6759-2869-9503,debit,15921.15
251,97,4716-8132-5842-3510,debit,11421.8
252,97,5412-4272-3420-9253,credit,32457.5
253,97,5555-8326-3342-0839,credit,32106.06
254,55,4485-5346-2687-2016,debit,19712.42
255,55,4532-4980-6637-1180,debit,1225.58
256,55,4716-0962-7000-1344,debit,12646.71
257,55,4532-2142-1657-5496,debit,13931.33
258,3,4716-8813-6918-1883,credit,45121.78
259,3,4716-5810-0442-1064,credit,2403.88
260,3,4532-1691-6460-6992,debit,19638.1
261,3,5412-7282-3520-0765,debit,5347.39
262,3,4716-5763-9758-2497,credit,24600.92
263,3,5105-0429-6067-4460,debit,3774.14
264,14,5555-9109-4784-0403,credit,45283.51
265,14,5105-2516-2331-3187,credit,10869.87
266,14,4485-4655-0790-3864,debit,5125.51
267,14,5555-7514-7955-8054,debit,18187.53
268,14,5105-7597-2723-8575,credit,32324.92
269,14,5105-0292-8484-9584,credit,21978.01
270,14,4485-6924-9271-1011,debit,6123
271,4,4716-3917-9199-8096,debit,6757.66
272,4,4716-1210-9582-3491,credit,21038.13
273,4,5555-0544-7456-6353,debit,20312.49
274,4,4716-2787-0252-6369,credit,16964.13
275,4,5105-8635-9104-5010,credit,5679.26
276,4,5412-4815-3049-7841,debit,3931.03
277,82,5555-7082-9624-8840,debit,16164.72
278,82,4532-6312-2748-7364,credit,11663.44
279,82,5105-5847-3336-2851,debit,11207.05
280,82,4532-0206-3595-6911,debit,5522.8
281,82,4485-6956-7973-5393,credit,32290.25
282,82,4485-1640-5953-8689,credit,7563.33
283,13,4485-2778-0153-5712,debit,20859.99
284,13,4532-9329-1547-2016,debit,23355.11
285,13,4716-3382-4917-7317,credit,49742.19
286,13,4532-4581-4778-3808,debit,3793.2
287,86,4485-9371-8162-9374,debit,7789.36
288,86,4532-4080-8246-8247,debit,3424.08
289,86,5412-1228-1848-4135,credit,36527.79
290,86,4485-8680-5949-0206,debit,15852.05
291,86,5555-8824-3333-5124,debit,5182.96
292,86,4716-2218-6703-3602,credit,23040.24
